"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
100128338,512.35277954001,2.57395555217761,0.181446000578273,14.1857938117916,1.1218900072472e-45,3.63786190683325e-43
5653,849.924197395796,7.44998327969147,0.525375274010588,14.1803081496777,1.21312687144361e-45,3.88742937933895e-43
6387,1773.97344367229,-3.20542513281922,0.226307696167116,-14.1640129218239,1.53001636881706e-45,4.8458820760278e-43
10924,1526.70646319356,-2.20410221535691,0.15565130868123,-14.1605119419257,1.60818309465963e-45,4.97769217412944e-43
23140,3213.74210234019,-1.54322996611038,0.108980678793472,-14.1605831712145,1.60655382290564e-45,4.97769217412944e-43
477,302.80251811582,-4.80768059482167,0.339577512450982,-14.157829710575,1.6707469316499e-45,5.11323650834607e-43
100170841,469.410373639648,3.44469421617642,0.243567751669424,14.1426530916607,2.07318421108089e-45,6.2743768379357e-43
4839,1316.33078754235,1.56111893523816,0.110600981525656,14.1148741512392,3.07564513498753e-45,9.20598046008685e-43
105379057,96.6976320385816,-2.79816440867286,0.198687864041574,-14.0832175239821,4.81658985767115e-45,1.42602472329616e-42
5333,1712.73217384997,-2.18735194001602,0.155470151683717,-14.0692725666461,5.86697830827263e-45,1.71833070065301e-42
151888,64.126639299651,-2.43581376245169,0.173621469507722,-14.0294502134907,1.02946547754562e-44,2.98304049759441e-42
10218,22.7713991992598,-4.79600805804513,0.342146368417498,-14.017416231035,1.21975141969905e-44,3.49721991260659e-42
101669762,80.161122656209,4.77586863406115,0.340804759791945,14.0135033236529,1.2888684874702e-44,3.65689581892848e-42
2172,469.856182102727,4.86744364425299,0.347367922607965,14.0123578703217,1.30982924378516e-44,3.67805453012579e-42
651,389.372002906096,-5.10879040988748,0.367536633555476,-13.9000848989285,6.32662778675505e-44,1.75841518015953e-41
23594,313.937732240236,2.10942237295074,0.151820371157085,13.8941984983568,6.86880944917935e-44,1.88982456340149e-41
994,3157.41441262068,2.14106932249422,0.154307896322515,13.8753062773873,8.94103618507636e-44,2.4353594360911e-41
643236,423.991308434837,-5.38472357488649,0.388139073056502,-13.8731809000395,9.21001175682011e-44,2.48378515081452e-41
57595,282.872237085776,-2.83429332251484,0.204347565275927,-13.8699637487129,9.63254672145713e-44,2.57226772155931e-41
388364,1093.9035074223,-6.94824417033757,0.502816130177846,-13.8186580607109,1.96702580813965e-43,5.20173290894249e-41
653808,58694.4593289172,-6.50350172647311,0.47106960283421,-13.8058191132362,2.35085079039972e-43,6.15696863739496e-41
1019,2992.24260160038,1.23685722364544,0.0896452633138296,13.797240120936,2.64797647258569e-43,6.86910315812275e-41
55355,516.045880438748,1.94098121795236,0.140729973318554,13.7922375182918,2.838183630051e-43,7.2930609165405e-41
23495,339.201917818344,-4.10209999964983,0.297718984076456,-13.7784293882865,3.43667810007902e-43,8.74843346635068e-41
5126,85.4849610403624,-5.61103222111837,0.407814834237207,-13.7587742035266,4.5111071328687e-43,1.13771792671368e-40
572558,50.5420976766542,-5.11592495427762,0.37197553079351,-13.753391099044,4.85971761449968e-43,1.21439438884167e-40
220441,598.094190971066,-2.85853579292091,0.208086898790424,-13.7372213701926,6.07633946738897e-43,1.50461213102492e-40
100188953,45.502911856681,-3.25505332511322,0.237475412640126,-13.7069067021518,9.23101118275674e-43,2.26517371708043e-40
6258,46.431526652766,-4.85360792264537,0.355259672661076,-13.6621415154987,1.70883349383226e-42,4.15582202723243e-40
2641,2013.08047442169,-6.22058557341135,0.455473237546874,-13.6574118095603,1.82350474267269e-42,4.39545329034679e-40
100048912,1206.39687781239,-5.1944633802966,0.38064724330931,-13.6463969504585,2.12109515420539e-42,5.06792893072337e-40
2208,174.504295930648,-4.04621285260749,0.29652417059791,-13.6454739741746,2.14812279476965e-42,5.08787553773355e-40
9370,66.0556330901987,-7.29944943649896,0.535371388293725,-13.634365967451,2.50155493238031e-42,5.8739097627737e-40
27250,7526.63324722125,-2.09449784688426,0.153626203482239,-13.6337278368427,2.52353104171086e-42,5.8748665396684e-40
4751,510.968379332718,1.92623910625595,0.141318781554669,13.6304536811392,2.63934393689181e-42,6.09241102992026e-40
84319,570.472249224598,2.00672831500374,0.147479006689056,13.6068743616826,3.64502206342636e-42,8.34311856837034e-40
9603,1716.42935019524,2.77285770139763,0.203950050157011,13.5957686662148,4.24279593803515e-42,9.55084923638028e-40
54860,5515.36537015025,-5.93426403912112,0.436468157467308,-13.5960984497835,4.22371366029353e-42,9.55084923638028e-40
79148,2727.8183209609,-3.5387767647634,0.260692322183022,-13.5745338993105,5.67032582882505e-42,1.26596995840604e-39
4312,3115.50144968337,4.73681567226007,0.349874444623273,13.5386157664657,9.25158472947333e-42,2.04873711269426e-39
1300,264.757107943045,5.97151712767709,0.441446527780571,13.5271584481583,1.08122859873638e-41,2.3750406913211e-39
644139,48.4780554870332,-4.46323814351084,0.330094931977098,-13.521074427827,1.17447831293506e-41,2.559235223018e-39
125,2077.51495724699,-5.33918986907221,0.395557872279054,-13.4978728607013,1.60956527110963e-41,3.47947133765747e-39
10351,682.179249106924,-4.77891734803052,0.354908202066667,-13.4652209224875,2.50567657509328e-41,5.37398571278667e-39
11126,39.5176709172829,-2.91389300660369,0.217530567348595,-13.3953266528016,6.4392111570805e-41,1.37024401169187e-38
7804,283.621016504735,2.82836750274057,0.211306939469601,13.3851141369991,7.38837843571776e-41,1.5600360607138e-38
5570,1635.72502114695,-3.2392651674491,0.242058765451508,-13.3821436352737,7.6897164893855e-41,1.61117305952217e-38
2980,25707.9839059587,-5.7777711825485,0.432073833291974,-13.3721848845314,8.79198157936396e-41,1.82806102487569e-38
6947,577.058222729765,6.27531144378559,0.469689892904896,13.3605417927446,1.02813081324355e-40,2.12153235538848e-38
8862,230.950061755353,4.55968502872918,0.341548958730925,13.3500188250357,1.18418991068517e-40,2.42518532234908e-38
81624,344.063227593692,2.14258454372738,0.16061271326226,13.3400681690049,1.3533572471466e-40,2.73057368131697e-38
2523,147.163157078619,2.46739293061052,0.184954260495769,13.3405574113118,1.34450435620913e-40,2.73057368131697e-38
84962,393.062505556855,2.77279269551762,0.207929061512873,13.3352821166172,1.44307763400263e-40,2.89018739668851e-38
3654,9139.40680016634,1.69855340647405,0.127648739945501,13.3064643426894,2.12292663329087e-40,4.22075004653845e-38
5630,304.3648536606,-4.30137356169518,0.323490457858683,-13.2967556142699,2.4173193209392e-40,4.77122780172043e-38
80131,271.7335652487,2.73874695082855,0.206314104272385,13.2746472204961,3.24797088486495e-40,6.3646209325145e-38
84281,1455.89139167737,-3.78908232777002,0.28546776831869,-13.2732404435234,3.30953847752579e-40,6.43894350363196e-38
79080,1190.99807873926,1.60484104447233,0.12097915672876,13.2654342108736,3.67287256875757e-40,7.0951562431077e-38
